"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"CA",1896,1369766,NA,NA,NA,18196,326,NA,NA,NA,6770,11100,NA,3647,2858,789,7216,2009,31068,18747,1915,246,"15704",882,30,1424,"0",7525,3342,31068,31,205899,123377,NA,NA,NA,52342,34113,19771,14342,39615,24308,303935,212210,8720,246,"62224","141020",300,1424,"4734",58243,27024,303935,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1670,NA,NA,NA,NA,NA,NA,NA,NA,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,627,NA,NA,NA,NA,NA,44186,4874.61209964413
"CA",1897,1397721,NA,NA,NA,18142,319,NA,NA,NA,6611,11212,NA,4379,3015,1364,7248,2157,31926,19514,2178,334,"16065",937,142,1432,"5",7550,3283,31926,32,190668,117114,NA,NA,NA,48615,40249,22983,17266,46038,25534,302489,216069,9393,334,"59506","146836",1214,1432,"3995",52249,27530,302489,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,NA,NA,NA,NA,NA,NA,NA,NA,627,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,558,NA,NA,NA,NA,NA,43678.78125,4974.09608540925
"CA",1898,1426245,NA,NA,NA,25216,452,NA,NA,NA,9382,15382,NA,6699,4794,1905,15800,2182,49897,33359,5341,321,"26626",1071,103,1451,"1",10825,4158,49897,34,195830,111735,NA,NA,NA,55493,52126,30087,22039,54708,27465,330129,246010,13128,321,"101670","130891",658,1451,"2999",50869,28142,330129,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2076,NA,NA,NA,NA,NA,NA,NA,NA,674,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,695,NA,NA,NA,NA,NA,41948.3823529412,4969.49477351916
"CA",1899,1455352,NA,NA,NA,28184,517,NA,NA,NA,10728,16939,NA,6912,4987,1925,20124,2121,57341,40126,7625,506,"30868",1127,150,1478,"8",10825,4754,57341,35,195303,107622,NA,NA,NA,56829,66250,38069,28181,68013,27708,357274,273250,15609,506,"105638","151497",1042,1478,"5397",46801,29306,357274,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2545,NA,NA,NA,NA,NA,NA,NA,NA,811,NA,NA,NA,NA,NA,NA,NA,NA,NA,559,777,NA,NA,NA,NA,NA,41581.4857142857,5179.18861209964
"CA",1900,1485053,NA,NA,NA,32675,528,NA,NA,NA,10941,21206,NA,8434,6467,1967,18238,2233,61580,41586,7621,599,"32097",1269,70,3080,"378",10988,5478,61580,38,209829,106579,NA,NA,NA,66784,80727,44185,36542,66557,27634,384747,295257,15480,599,"115461","163717",390,3080,"6228",46516,33276,384747,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2801,NA,NA,NA,NA,NA,NA,NA,NA,848,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,885,NA,NA,NA,NA,NA,39080.3421052632,5174.40069686411
"CA",1901,1556613,NA,NA,NA,36871,612,NA,NA,NA,12698,23561,NA,10807,8343,2464,22865,2220,72763,49769,9011,727,"38323",1708,60,5784,"22",11255,5873,72763,41,226214,108480,NA,NA,NA,73848,93168,47831,45337,78196,29356,426934,328996,16878,727,"131949","179442",411,5784,"4475",49596,37672,426934,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2798,NA,NA,NA,NA,NA,NA,NA,NA,912,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,915,NA,NA,NA,NA,NA,37966.1707317073,5258.8277027027
"CA",1902,1631622,NA,NA,NA,44251,769,NA,NA,NA,15958,27524,NA,14431,10883,3548,28138,2276,89096,62994,10576,1254,"49165",1999,47,7087,"36",12180,6752,89096,49,243837,114170,NA,NA,NA,84938,106286,51165,55121,95122,30365,475610,372810,20323,1254,"153840","197393",431,7087,"7132",50353,37797,475610,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3462,NA,NA,NA,NA,NA,NA,NA,NA,1110,NA,NA,NA,NA,NA,NA,NA,NA,NA,478,1021,NA,NA,NA,NA,NA,33298.4081632653,5179.75238095238
"CA",1903,1710245,NA,NA,NA,62307,997,NA,NA,NA,20686,40624,NA,19921,15128,4793,32852,2641,117721,83947,13921,2291,"65464",2271,127,8961,"125",15682,8879,117721,57,303716,133601,NA,NA,NA,103270,123932,56419,67513,97700,26529,551877,434817,25989,2291,"181931","224606",558,8961,"3573",59411,44557,551877,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4262,NA,NA,NA,NA,NA,NA,NA,NA,1469,NA,NA,NA,NA,NA,NA,NA,NA,NA,529,1085,NA,NA,NA,NA,NA,30004.298245614,5000.71637426901
"CA",1904,1792656,NA,NA,NA,67059,1046,NA,NA,NA,21687,44326,NA,25433,19715,5718,36158,3531,132181,90017,17494,1793,"68167",2563,189,13166,"121",17730,10958,132181,75,331666,151419,NA,NA,NA,120902,132712,57906,74806,102711,28454,595543,455634,30700,1793,"224846","198295",649,13166,"7078",66391,52625,595543,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5050,NA,NA,NA,NA,NA,NA,NA,NA,1745,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,1563,NA,NA,NA,NA,NA,23902.08,4288.65071770335
"CA",1905,1879039,NA,NA,NA,83422,1347,NA,NA,NA,27934,54141,NA,29347,22959,6388,50752,4366,167887,115715,27907,1425,"83211",3172,404,15261,"314",22003,14190,167887,87,380208,179006,NA,NA,NA,128512,138319,57124,81195,134009,30660,683196,535750,47392,1425,"209916","277017",1426,15261,"7498",76174,47087,683196,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5636,NA,NA,NA,NA,NA,NA,NA,NA,2081,NA,NA,NA,NA,NA,NA,NA,NA,NA,641,1628,NA,NA,NA,NA,NA,21598.1494252874,3819.18495934959
"CA",1906,1969584,NA,NA,NA,114773,1763,NA,NA,NA,36571,76439,NA,39330,31597,7733,73181,6977,234261,168728,42579,6175,"116241",3733,347,21618,"1657",25078,16833,234261,113,462410,206171,NA,NA,NA,158408,151661,62227,89434,189139,35047,838257,665970,67293,6175,"318478","274024",957,21618,"9263",87495,52954,838257,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7618,NA,NA,NA,NA,NA,NA,NA,NA,2745,NA,NA,NA,NA,NA,NA,NA,NA,NA,901,3398,NA,NA,NA,NA,NA,17429.9469026549,3504.59786476868
"CA",1907,2064492,NA,NA,NA,136702,2044,NA,NA,NA,42384,92274,NA,51869,38648,13221,67983,8308,264862,190722,47523,9753,"127872",5574,618,23555,"2566",27813,19588,264862,126,516178,213774,NA,NA,NA,189080,174954,67484,107470,163150,35371,889653,702053,72853,9753,"308677","310770",1974,23555,"10138",92751,59182,889653,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9513,NA,NA,NA,NA,NA,NA,NA,NA,3557,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251,2889,NA,NA,NA,NA,NA,16384.8571428571,3452.32775919732
"CA",1908,2163974,NA,NA,NA,125617,2103,NA,NA,NA,43622,79892,NA,54844,39291,15553,66186,7941,254588,170475,41257,5380,"117067",6771,1859,25691,"1595",33548,21420,254588,139,468603,215260,NA,NA,NA,166620,160137,70565,89572,146366,37598,812704,613590,62732,5380,"264774","280704",5805,25691,"8514",97353,61751,812704,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6534,NA,NA,NA,NA,NA,NA,NA,NA,2794,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,1727,NA,NA,NA,NA,NA,15568.1582733813,3501.57605177994
"CA",1909,2268249,NA,NA,NA,143113,2316,NA,NA,NA,48432,92365,NA,57232,43204,14028,83291,9247,292883,202799,57062,2018,"134139",9580,408,28453,"1185",35955,24083,292883,149,469084,206662,NA,NA,NA,171636,163782,75494,88288,171923,38182,842971,642291,72897,2018,"269167","298209",2340,28453,"3049",96843,69995,842971,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11015,NA,NA,NA,NA,NA,NA,NA,NA,4651,NA,NA,NA,NA,NA,NA,NA,NA,NA,1414,3046,NA,NA,NA,NA,NA,15223.1476510067,3589.00158227848
"CA",1910,2377549,NA,NA,NA,211068,3301,NA,NA,NA,73828,133939,NA,72609,53991,18618,105248,12996,401921,278513,78270,1180,"179435",19628,1435,36094,"810",44914,40155,401921,185,562400,249765,NA,NA,NA,194523,179572,91406,88166,185813,42151,969936,752700,88103,1180,"307422","355995",3616,36094,"2361   1",2088,73077,969936,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13676,NA,NA,NA,NA,NA,NA,NA,NA,5881,NA,NA,NA,NA,NA,NA,NA,NA,NA,1393,4084,NA,NA,NA,NA,NA,12851.6162162162,3714.9203125
